
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  91/100 | Steps:  71344 | α=1e-01 | Loss: 2.1323e-04 | BC: 2.1699e-06 | PDE: 2.1106e-03 | Val: 5.4280e-06 | Test: 4.0286e-06 | LR=3.4e-05
Epoch  92/100 | Steps:  72128 | α=1e-01 | Loss: 2.1700e-04 | BC: 2.2492e-06 | PDE: 2.1475e-03 | Val: 9.3052e-07 | Test: 1.1663e-06 | LR=3.0e-05 *
Epoch  93/100 | Steps:  72912 | α=1e-01 | Loss: 2.0876e-04 | BC: 1.7783e-06 | PDE: 2.0698e-03 | Val: 1.2903e-06 | Test: 1.3448e-06 | LR=2.6e-05
Epoch  94/100 | Steps:  73696 | α=1e-01 | Loss: 2.0805e-04 | BC: 1.9936e-06 | PDE: 2.0606e-03 | Val: 1.0966e-06 | Test: 2.0068e-06 | LR=2.2e-05
Epoch  95/100 | Steps:  74480 | α=1e-01 | Loss: 1.9979e-04 | BC: 1.3752e-06 | PDE: 1.9842e-03 | Val: 1.9651e-06 | Test: 2.4029e-06 | LR=1.9e-05
Epoch  96/100 | Steps:  75264 | α=1e-01 | Loss: 2.0373e-04 | BC: 1.3095e-06 | PDE: 2.0242e-03 | Val: 7.7794e-07 | Test: 1.4401e-06 | LR=1.6e-05 *
Epoch  97/100 | Steps:  76048 | α=1e-01 | Loss: 2.0482e-04 | BC: 1.2179e-06 | PDE: 2.0361e-03 | Val: 1.0846e-06 | Test: 1.3546e-06 | LR=1.4e-05
Epoch  98/100 | Steps:  76832 | α=1e-01 | Loss: 2.0233e-04 | BC: 1.1513e-06 | PDE: 2.0118e-03 | Val: 2.0850e-06 | Test: 1.8830e-06 | LR=1.2e-05
Epoch  99/100 | Steps:  77616 | α=1e-01 | Loss: 2.0352e-04 | BC: 1.1168e-06 | PDE: 2.0240e-03 | Val: 7.4268e-07 | Test: 1.3462e-06 | LR=1.1e-05 *
Epoch 100/100 | Steps:  78400 | α=1e-01 | Loss: 1.9942e-04 | BC: 1.0459e-06 | PDE: 1.9838e-03 | Val: 1.5547e-06 | Test: 1.5977e-06 | LR=1.0e-05

Restored best model from epoch 99 (val_loss: 7.4268e-07, test_loss: 1.3462e-06)
Best checkpoint saved to: outputs/expr_6_2/aronsson_disc/l2/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_6_2/aronsson_disc/l2/checkpoints/final_model.pt
Training completed in 562.48s (78,400 total steps)

Final Test MSE: 1.5977e-06
Inference (per point): 4.9438e-05s | (full domain): 4.5805e-05s
Saved plot to outputs/expr_6_2/aronsson_disc/l2/plots/results.png
