
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [16, 16, 16, 16]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,524

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  65/100 | Steps:  65000 | α=1e-01 | Loss: 2.4422e-05 | BC: 1.0069e-05 | PDE: 2.5855e-05 | Intf: 1.1767e-05 | Val: 4.7145e-06 | Test: 1.5953e-05 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=1e-01 | Loss: 2.1269e-05 | BC: 8.6761e-06 | PDE: 2.4481e-05 | Intf: 1.0145e-05 | Val: 7.3346e-06 | Test: 1.6720e-05 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=1e-01 | Loss: 1.8402e-05 | BC: 7.3831e-06 | PDE: 2.3646e-05 | Intf: 8.6539e-06 | Val: 5.2035e-05 | Test: 5.3936e-05 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e-01 | Loss: 1.7326e-05 | BC: 7.0320e-06 | PDE: 2.2174e-05 | Intf: 8.0765e-06 | Val: 1.3138e-05 | Test: 2.1466e-05 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e-01 | Loss: 1.2742e-05 | BC: 5.1199e-06 | PDE: 2.0747e-05 | Intf: 5.5475e-06 | Val: 8.0728e-06 | Test: 1.7587e-05 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e-01 | Loss: 1.9456e-05 | BC: 8.0798e-06 | PDE: 2.0304e-05 | Intf: 9.3459e-06 | Val: 7.0410e-07 | Test: 1.1774e-05 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=1e-01 | Loss: 9.9507e-06 | BC: 3.7243e-06 | PDE: 1.9534e-05 | Intf: 4.2729e-06 | Val: 2.5841e-06 | Test: 1.1818e-05 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | α=1e-01 | Loss: 1.1705e-05 | BC: 4.6871e-06 | PDE: 1.8005e-05 | Intf: 5.2172e-06 | Val: 5.2895e-05 | Test: 5.6888e-05 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e-01 | Loss: 1.0276e-05 | BC: 3.9417e-06 | PDE: 1.7934e-05 | Intf: 4.5407e-06 | Val: 1.0393e-05 | Test: 1.9169e-05 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | α=1e-01 | Loss: 9.1109e-06 | BC: 3.5584e-06 | PDE: 1.6353e-05 | Intf: 3.9173e-06 | Val: 4.8027e-06 | Test: 1.3808e-05 | LR=1.8e-04
