
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  82/100 | Steps:  82000 | α=1e-01 | Loss: 1.0600e-05 | BC: 3.5509e-06 | PDE: 7.0488e-05 | Val: 3.0333e-06 | Test: 7.4848e-04 | LR=9.6e-05 *
Epoch  83/100 | Steps:  83000 | α=1e-01 | Loss: 1.9408e-05 | BC: 6.9852e-06 | PDE: 1.2423e-04 | Val: 4.1373e-06 | Test: 7.4472e-04 | LR=8.7e-05
Epoch  84/100 | Steps:  84000 | α=1e-01 | Loss: 1.0090e-05 | BC: 4.2784e-06 | PDE: 5.8119e-05 | Val: 4.0653e-06 | Test: 7.3097e-04 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | α=1e-01 | Loss: 9.1027e-06 | BC: 3.5795e-06 | PDE: 5.5232e-05 | Val: 3.4613e-06 | Test: 7.3452e-04 | LR=7.1e-05
Epoch  86/100 | Steps:  86000 | α=1e-01 | Loss: 8.3139e-06 | BC: 3.2104e-06 | PDE: 5.1035e-05 | Val: 3.6058e-06 | Test: 7.4104e-04 | LR=6.4e-05
Epoch  87/100 | Steps:  87000 | α=1e-01 | Loss: 7.3728e-06 | BC: 2.7503e-06 | PDE: 4.6225e-05 | Val: 2.3922e-06 | Test: 7.2945e-04 | LR=5.7e-05 *
Epoch  88/100 | Steps:  88000 | α=1e-01 | Loss: 7.3558e-06 | BC: 2.7675e-06 | PDE: 4.5883e-05 | Val: 2.7785e-06 | Test: 7.3010e-04 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | α=1e-01 | Loss: 8.7242e-06 | BC: 3.1408e-06 | PDE: 5.5834e-05 | Val: 2.8558e-06 | Test: 7.3306e-04 | LR=4.5e-05
Epoch  90/100 | Steps:  90000 | α=1e-01 | Loss: 5.9555e-06 | BC: 2.2026e-06 | PDE: 3.7530e-05 | Val: 2.2698e-06 | Test: 7.2860e-04 | LR=3.9e-05 *
Epoch  91/100 | Steps:  91000 | α=1e-01 | Loss: 5.7251e-06 | BC: 2.0183e-06 | PDE: 3.7069e-05 | Val: 1.9561e-06 | Test: 7.1803e-04 | LR=3.4e-05 *
Epoch  92/100 | Steps:  92000 | α=1e-01 | Loss: 5.8492e-06 | BC: 1.9711e-06 | PDE: 3.8781e-05 | Val: 1.8289e-06 | Test: 7.2359e-04 | LR=3.0e-05 *
Epoch  93/100 | Steps:  93000 | α=1e-01 | Loss: 4.9224e-06 | BC: 1.6429e-06 | PDE: 3.2795e-05 | Val: 1.6939e-06 | Test: 7.2303e-04 | LR=2.6e-05 *
Epoch  94/100 | Steps:  94000 | α=1e-01 | Loss: 4.4064e-06 | BC: 1.5112e-06 | PDE: 2.8952e-05 | Val: 1.6240e-06 | Test: 7.1789e-04 | LR=2.2e-05 *
Epoch  95/100 | Steps:  95000 | α=1e-01 | Loss: 4.4299e-06 | BC: 1.5968e-06 | PDE: 2.8331e-05 | Val: 1.7992e-06 | Test: 7.1990e-04 | LR=1.9e-05
Epoch  96/100 | Steps:  96000 | α=1e-01 | Loss: 4.4295e-06 | BC: 1.6883e-06 | PDE: 2.7412e-05 | Val: 1.9496e-06 | Test: 7.2547e-04 | LR=1.6e-05
Epoch  97/100 | Steps:  97000 | α=1e-01 | Loss: 4.0817e-06 | BC: 1.6107e-06 | PDE: 2.4710e-05 | Val: 1.7631e-06 | Test: 7.1575e-04 | LR=1.4e-05
Epoch  98/100 | Steps:  98000 | α=1e-01 | Loss: 4.0526e-06 | BC: 1.6126e-06 | PDE: 2.4399e-05 | Val: 2.0964e-06 | Test: 7.1072e-04 | LR=1.2e-05
Epoch  99/100 | Steps:  99000 | α=1e-01 | Loss: 4.1309e-06 | BC: 1.6198e-06 | PDE: 2.5110e-05 | Val: 1.9799e-06 | Test: 7.1778e-04 | LR=1.1e-05
Epoch 100/100 | Steps: 100000 | α=1e-01 | Loss: 3.9277e-06 | BC: 1.5511e-06 | PDE: 2.3766e-05 | Val: 1.8293e-06 | Test: 7.1166e-04 | LR=1.0e-05

Restored best model from epoch 94 (val_loss: 1.6240e-06, test_loss: 7.1789e-04)
Best checkpoint saved to: outputs/expr_6_2/absolute/alpha1e-1/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_6_2/absolute/alpha1e-1/checkpoints/final_model.pt
Training completed in 885.40s (100,000 total steps)

Final Test MSE: 7.1166e-04
Inference (per point): 7.7493e-05s | (full domain): 7.5645e-05s
Saved plot to outputs/expr_6_2/absolute/alpha1e-1/plots/results.png
