
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  63/100 | Steps:  49392 | α=1e-02 | Loss: 2.1002e-05 | BC: 5.4426e-06 | PDE: 1.5559e-03 | Val: 5.0230e-06 | Test: 3.1531e-06 | LR=3.2e-04

>>> Alpha increased: 1e-02 → 1e-01 (BC=5.0833e-06) <<<
Epoch  64/100 | Steps:  50176 | α=1e-01 | Loss: 1.9683e-05 | BC: 5.0833e-06 | PDE: 1.4600e-03 | Val: 3.5502e-06 | Test: 2.3619e-06 | LR=3.1e-04 *
Epoch  65/100 | Steps:  50960 | α=1e-01 | Loss: 3.0135e-04 | BC: 4.6868e-05 | PDE: 2.5448e-03 | Val: 6.4508e-05 | Test: 3.2452e-05 | LR=2.9e-04
Epoch  66/100 | Steps:  51744 | α=1e-01 | Loss: 1.7453e-04 | BC: 1.8153e-05 | PDE: 1.5638e-03 | Val: 1.4935e-05 | Test: 1.3785e-05 | LR=2.8e-04
Epoch  67/100 | Steps:  52528 | α=1e-01 | Loss: 1.5603e-04 | BC: 1.7266e-05 | PDE: 1.3876e-03 | Val: 9.9463e-06 | Test: 4.2326e-06 | LR=2.7e-04
Epoch  68/100 | Steps:  53312 | α=1e-01 | Loss: 1.3419e-04 | BC: 1.3941e-05 | PDE: 1.2025e-03 | Val: 1.5676e-05 | Test: 1.1461e-05 | LR=2.5e-04
Epoch  69/100 | Steps:  54096 | α=1e-01 | Loss: 1.3339e-04 | BC: 1.5739e-05 | PDE: 1.1765e-03 | Val: 1.5706e-05 | Test: 7.7636e-06 | LR=2.4e-04
Epoch  70/100 | Steps:  54880 | α=1e-01 | Loss: 1.1861e-04 | BC: 1.3127e-05 | PDE: 1.0548e-03 | Val: 6.7788e-06 | Test: 7.9680e-06 | LR=2.3e-04
Epoch  71/100 | Steps:  55664 | α=1e-01 | Loss: 1.2331e-04 | BC: 1.3974e-05 | PDE: 1.0934e-03 | Val: 2.0950e-05 | Test: 2.6990e-05 | LR=2.1e-04
Epoch  72/100 | Steps:  56448 | α=1e-01 | Loss: 1.0860e-04 | BC: 1.0921e-05 | PDE: 9.7676e-04 | Val: 2.8590e-06 | Test: 3.9895e-06 | LR=2.0e-04 *
Epoch  73/100 | Steps:  57232 | α=1e-01 | Loss: 9.8692e-05 | BC: 1.1037e-05 | PDE: 8.7655e-04 | Val: 1.3339e-05 | Test: 6.5425e-06 | LR=1.9e-04
Epoch  74/100 | Steps:  58016 | α=1e-01 | Loss: 9.3352e-05 | BC: 9.4639e-06 | PDE: 8.3888e-04 | Val: 2.5757e-06 | Test: 1.8733e-06 | LR=1.8e-04 *
Epoch  75/100 | Steps:  58800 | α=1e-01 | Loss: 7.8806e-05 | BC: 6.7589e-06 | PDE: 7.2047e-04 | Val: 4.8397e-06 | Test: 4.4469e-06 | LR=1.7e-04
Epoch  76/100 | Steps:  59584 | α=1e-01 | Loss: 8.1966e-05 | BC: 8.0340e-06 | PDE: 7.3932e-04 | Val: 3.8192e-06 | Test: 5.6231e-06 | LR=1.5e-04
Epoch  77/100 | Steps:  60368 | α=1e-01 | Loss: 7.0289e-05 | BC: 6.4732e-06 | PDE: 6.3816e-04 | Val: 1.4365e-05 | Test: 1.8160e-05 | LR=1.4e-04
Epoch  78/100 | Steps:  61152 | α=1e-01 | Loss: 7.2892e-05 | BC: 6.4611e-06 | PDE: 6.6430e-04 | Val: 7.7771e-06 | Test: 5.6871e-06 | LR=1.3e-04
Epoch  79/100 | Steps:  61936 | α=1e-01 | Loss: 6.6958e-05 | BC: 6.3130e-06 | PDE: 6.0645e-04 | Val: 2.5446e-06 | Test: 1.5223e-06 | LR=1.2e-04 *
Epoch  80/100 | Steps:  62720 | α=1e-01 | Loss: 7.3121e-05 | BC: 7.6150e-06 | PDE: 6.5506e-04 | Val: 4.5023e-06 | Test: 3.2162e-06 | LR=1.1e-04
Epoch  81/100 | Steps:  63504 | α=1e-01 | Loss: 6.2569e-05 | BC: 5.8024e-06 | PDE: 5.6766e-04 | Val: 3.3580e-06 | Test: 1.9714e-06 | LR=1.0e-04
Epoch  82/100 | Steps:  64288 | α=1e-01 | Loss: 6.2449e-05 | BC: 4.7008e-06 | PDE: 5.7749e-04 | Val: 9.8409e-06 | Test: 9.3227e-06 | LR=9.6e-05
Epoch  83/100 | Steps:  65072 | α=1e-01 | Loss: 5.7630e-05 | BC: 4.5007e-06 | PDE: 5.3129e-04 | Val: 2.2964e-06 | Test: 2.1605e-06 | LR=8.7e-05 *
Epoch  84/100 | Steps:  65856 | α=1e-01 | Loss: 4.6712e-05 | BC: 3.2733e-06 | PDE: 4.3439e-04 | Val: 1.9868e-06 | Test: 1.6528e-06 | LR=7.9e-05 *
Epoch  85/100 | Steps:  66640 | α=1e-01 | Loss: 5.6884e-05 | BC: 5.0966e-06 | PDE: 5.1787e-04 | Val: 2.1982e-06 | Test: 2.6864e-06 | LR=7.1e-05
Epoch  86/100 | Steps:  67424 | α=1e-01 | Loss: 4.5230e-05 | BC: 2.6746e-06 | PDE: 4.2555e-04 | Val: 6.1978e-06 | Test: 6.1971e-06 | LR=6.4e-05
Epoch  87/100 | Steps:  68208 | α=1e-01 | Loss: 4.5902e-05 | BC: 2.9996e-06 | PDE: 4.2903e-04 | Val: 2.6008e-06 | Test: 1.9924e-06 | LR=5.7e-05
Epoch  88/100 | Steps:  68992 | α=1e-01 | Loss: 4.3258e-05 | BC: 2.3966e-06 | PDE: 4.0862e-04 | Val: 2.1743e-06 | Test: 1.3576e-06 | LR=5.1e-05
Epoch  89/100 | Steps:  69776 | α=1e-01 | Loss: 4.1285e-05 | BC: 2.0333e-06 | PDE: 3.9251e-04 | Val: 4.1027e-06 | Test: 3.2805e-06 | LR=4.5e-05
Epoch  90/100 | Steps:  70560 | α=1e-01 | Loss: 3.9083e-05 | BC: 1.7345e-06 | PDE: 3.7348e-04 | Val: 2.0107e-06 | Test: 2.3127e-06 | LR=3.9e-05
Epoch  91/100 | Steps:  71344 | α=1e-01 | Loss: 3.5717e-05 | BC: 1.6084e-06 | PDE: 3.4108e-04 | Val: 1.6707e-06 | Test: 1.7138e-06 | LR=3.4e-05 *
Epoch  92/100 | Steps:  72128 | α=1e-01 | Loss: 3.9091e-05 | BC: 1.5073e-06 | PDE: 3.7584e-04 | Val: 1.8688e-06 | Test: 1.4456e-06 | LR=3.0e-05
