
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  86/100 | Steps:  67424 | α=1e-01 | Loss: 2.7415e-03 | BC: 2.5941e-04 | PDE: 2.4821e-02 | Val: 3.2382e-04 | Test: 7.4186e-04 | LR=6.4e-05
Epoch  87/100 | Steps:  68208 | α=1e-01 | Loss: 2.7991e-03 | BC: 3.1970e-04 | PDE: 2.4794e-02 | Val: 2.2903e-04 | Test: 5.8997e-04 | LR=5.7e-05
Epoch  88/100 | Steps:  68992 | α=1e-01 | Loss: 2.5487e-03 | BC: 2.4849e-04 | PDE: 2.3002e-02 | Val: 2.8300e-04 | Test: 7.0518e-04 | LR=5.1e-05
Epoch  89/100 | Steps:  69776 | α=1e-01 | Loss: 2.4959e-03 | BC: 2.5362e-04 | PDE: 2.2423e-02 | Val: 2.5227e-04 | Test: 6.8487e-04 | LR=4.5e-05
Epoch  90/100 | Steps:  70560 | α=1e-01 | Loss: 2.3298e-03 | BC: 2.4206e-04 | PDE: 2.0877e-02 | Val: 2.0503e-04 | Test: 5.4590e-04 | LR=3.9e-05
Epoch  91/100 | Steps:  71344 | α=1e-01 | Loss: 2.1490e-03 | BC: 2.2798e-04 | PDE: 1.9210e-02 | Val: 2.6628e-04 | Test: 6.3724e-04 | LR=3.4e-05
Epoch  92/100 | Steps:  72128 | α=1e-01 | Loss: 2.2745e-03 | BC: 1.8611e-04 | PDE: 2.0884e-02 | Val: 1.4467e-04 | Test: 3.7512e-04 | LR=3.0e-05
Epoch  93/100 | Steps:  72912 | α=1e-01 | Loss: 2.2623e-03 | BC: 1.4227e-04 | PDE: 2.1201e-02 | Val: 1.3563e-04 | Test: 3.8805e-04 | LR=2.6e-05
Epoch  94/100 | Steps:  73696 | α=1e-01 | Loss: 2.1224e-03 | BC: 1.5551e-04 | PDE: 1.9669e-02 | Val: 1.5168e-04 | Test: 4.0417e-04 | LR=2.2e-05
Epoch  95/100 | Steps:  74480 | α=1e-01 | Loss: 2.1669e-03 | BC: 1.4667e-04 | PDE: 2.0203e-02 | Val: 1.7760e-04 | Test: 4.4906e-04 | LR=1.9e-05
Epoch  96/100 | Steps:  75264 | α=1e-01 | Loss: 2.2391e-03 | BC: 1.4913e-04 | PDE: 2.0899e-02 | Val: 1.5307e-04 | Test: 3.8399e-04 | LR=1.6e-05
Epoch  97/100 | Steps:  76048 | α=1e-01 | Loss: 2.0984e-03 | BC: 1.4090e-04 | PDE: 1.9575e-02 | Val: 1.4955e-04 | Test: 3.7555e-04 | LR=1.4e-05
