
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  74/100 | Steps:  74000 | α=0e+00 | Loss: 6.3270e-07 | BC: 6.3270e-07 | PDE: 2.6882e+01 | Val: 5.0874e-07 | Test: 4.7804e-02 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | α=0e+00 | Loss: 6.9115e-07 | BC: 6.9115e-07 | PDE: 2.6806e+01 | Val: 5.7594e-07 | Test: 4.7888e-02 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=0e+00 | Loss: 5.8353e-07 | BC: 5.8353e-07 | PDE: 2.6834e+01 | Val: 7.5759e-07 | Test: 4.8048e-02 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=0e+00 | Loss: 5.3107e-07 | BC: 5.3107e-07 | PDE: 2.6892e+01 | Val: 7.3167e-07 | Test: 4.8059e-02 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=0e+00 | Loss: 4.8354e-07 | BC: 4.8354e-07 | PDE: 2.6926e+01 | Val: 6.7503e-07 | Test: 4.8017e-02 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=0e+00 | Loss: 4.3587e-07 | BC: 4.3587e-07 | PDE: 2.6852e+01 | Val: 2.7663e-07 | Test: 4.8153e-02 | LR=1.2e-04 *
Epoch  80/100 | Steps:  80000 | α=0e+00 | Loss: 3.9949e-07 | BC: 3.9949e-07 | PDE: 2.6948e+01 | Val: 2.8336e-07 | Test: 4.8242e-02 | LR=1.1e-04
Epoch  81/100 | Steps:  81000 | α=0e+00 | Loss: 3.2037e-07 | BC: 3.2037e-07 | PDE: 2.6948e+01 | Val: 5.0240e-07 | Test: 4.8200e-02 | LR=1.0e-04
Epoch  82/100 | Steps:  82000 | α=0e+00 | Loss: 3.2069e-07 | BC: 3.2069e-07 | PDE: 2.6937e+01 | Val: 3.1885e-07 | Test: 4.8277e-02 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | α=0e+00 | Loss: 2.9629e-07 | BC: 2.9629e-07 | PDE: 2.6952e+01 | Val: 6.6564e-07 | Test: 4.8244e-02 | LR=8.7e-05
