p,is_training_p,mse_exact,relative_l2_exact,max_abs_exact,boundary_mse,mse_limit,exact_to_limit_mse
136.0,0,9.235274944785488e-08,0.0007500992505811155,0.01784038543701172,1.4683753590816195e-07,1.1512282071635127e-05,1.1485559298307635e-05
137.0,0,9.24002563351678e-08,0.0007502468070015311,0.01784813404083252,1.470158395022736e-07,1.1348784028086811e-05,1.1318002179905307e-05
138.0,0,9.24457879136753e-08,0.0007503870292566717,0.01785588264465332,1.4719134355800634e-07,1.1188842108822428e-05,1.11541494334233e-05
139.0,0,9.249259136367982e-08,0.0007505328976549208,0.01786363124847412,1.4735202569227113e-07,1.10323144326685e-05,1.0993861906172242e-05
140.0,1,9.254115695966902e-08,0.0007506865658797324,0.017871439456939697,1.4750995092072117e-07,1.087860255211126e-05,1.0836874025699217e-05
141.0,0,9.258675959245011e-08,0.000750828767195344,0.01787930727005005,1.4765463163257664e-07,1.072855775419157e-05,1.0683321306714788e-05
142.0,0,9.263201405929067e-08,0.00075096997898072,0.017887115478515625,1.4778581203245267e-07,1.058150883181952e-05,1.053299547493225e-05
143.0,0,9.267803591228585e-08,0.0007511149160563946,0.017894983291625977,1.479188682651511e-07,1.0437674063723534e-05,1.0385851055616513e-05
144.0,0,9.272351775280185e-08,0.0007512582815252244,0.017902731895446777,1.4804088266373583e-07,1.0296210348315071e-05,1.0241843483527191e-05
145.0,1,9.27672658690426e-08,0.0007513950113207102,0.01791059970855713,1.4815259419265203e-07,1.0158121767744888e-05,1.0100774488819297e-05
146.0,0,9.28130177157982e-08,0.000751540414057672,0.01791834831237793,1.4826041194737627e-07,1.002237058855826e-05,9.96262224361999e-06
147.0,0,9.285744795306528e-08,0.0007516808691434562,0.01792621612548828,1.4835082140507438e-07,9.889107786875684e-06,9.827168469200842e-06
148.0,0,9.290091185221172e-08,0.0007518178899772465,0.017934083938598633,1.4843202222891705e-07,9.758737178344745e-06,9.694395885162521e-06
149.0,0,9.294451785990532e-08,0.0007519560167565942,0.01794189214706421,1.4849976537334442e-07,9.63065122050466e-06,9.564409992890432e-06
150.0,1,9.298846492811208e-08,0.0007520959479734302,0.017949700355529785,1.4855689300929953e-07,9.505282832833473e-06,9.437020707991906e-06
151.0,0,9.303182935127552e-08,0.0007522340165451169,0.017957746982574463,1.4859932662147912e-07,9.382178177474998e-06,9.312067049904726e-06
152.0,0,9.307444770456641e-08,0.0007523694657720625,0.017965376377105713,1.4864178865536815e-07,9.26090342545649e-06,9.189632692141458e-06
153.0,0,9.311899873409857e-08,0.0007525131804868579,0.017973244190216064,1.4865494790683442e-07,9.142237104242668e-06,9.06973218661733e-06
154.0,0,9.316116944546593e-08,0.000752647640183568,0.017980992794036865,1.4867347886138305e-07,9.025317012856249e-06,8.951995368988719e-06
155.0,1,9.320333305140593e-08,0.0007527825655415654,0.017988979816436768,1.4866149911085813e-07,8.91112085810164e-06,8.836728738970123e-06
156.0,0,9.324726590875798e-08,0.0007529249414801598,0.017996609210968018,1.4864544084502995e-07,8.798378075880464e-06,8.723427527002059e-06
157.0,0,9.328912398132161e-08,0.0007530594593845308,0.018004536628723145,1.486246361537269e-07,8.68800634634681e-06,8.612501005700324e-06
158.0,0,9.33312236384154e-08,0.0007531951414421201,0.018012285232543945,1.4858694896702218e-07,8.579256245866418e-06,8.503384378855117e-06
159.0,0,9.337602335790507e-08,0.0007533422904089093,0.018020153045654297,1.4852744811832963e-07,8.472455192531925e-06,8.396744306082837e-06
160.0,1,9.341857776234974e-08,0.0007534806500189006,0.018028080463409424,1.4845886653347407e-07,8.367647751583718e-06,8.29168038762873e-06
161.0,0,9.346273799337723e-08,0.0007536258781328797,0.01803600788116455,1.4838417428109096e-07,8.264511052402668e-06,8.188776519091334e-06
162.0,0,9.350674190500285e-08,0.0007537708734162152,0.018043875694274902,1.4829029737484234e-07,8.163011443684809e-06,8.087838978099171e-06
163.0,0,9.355094476859449e-08,0.0007539169164374471,0.018051624298095703,1.4818095905866357e-07,8.063100722210947e-06,7.988586730789393e-06
164.0,0,9.359672503705951e-08,0.0007540697115473449,0.01805943250656128,1.4806757064889098e-07,7.965060831338633e-06,7.891396307968535e-06
165.0,1,9.364334374595273e-08,0.0007542262319475412,0.01806718111038208,1.479386781966241e-07,7.868157808843534e-06,7.795855708536692e-06
166.0,0,9.369104247980431e-08,0.0007543873507529497,0.018075168132781982,1.4777923240671953e-07,7.773115612508263e-06,7.701913091295864e-06
167.0,0,9.37391746447247e-08,0.0007545505068264902,0.01808309555053711,1.476326332294775e-07,7.679571353946812e-06,7.60971124691423e-06
